"PERIOD_REF";"REGION";"INDICATORS";"UNIT_MES";VALUE;"STATUS"
"2019";"BGR";"Ind_01_04";"UM_2";18.72887422;"A"
"2019";"BGR";"Ind_01_06";"UM_2";21.17889077;"A"
"2019";"BGR";"Ind_01_13";"UM_2";1.358504087;"A"
"2018";"BGR";"Ind_01_14";"UM_4";8.885236211;"A"
"2018";"BGR";"Ind_01_15";"UM_2";58.47066579;"A"
"2018";"BGR";"Ind_01_16";"UM_18";78.6;"A"
"2018";"BGR";"Ind_01_17";"UM_18";71.5;"A"
"2009";"BGR";"Ind_04_01";"UM_7";111002;"A"
"2009";"BGR";"Ind_04_08";"UM_2";;"O"
"2009";"BGR";"Ind_04_09";"UM_2";;"O"
"2009";"BGR";"Ind_04_10";"UM_2";;"O"
"2019";"BGR";"Ind_04_11";"UM_2";10.3;"A"
"2019";"BGR";"Ind_04_12";"UM_19";20.8;"A"
"2018";"BGR";"Ind_04_13";"UM_19";8.3;"A"
"2019";"BGR";"Ind_05_03";"UM_2";73.2;"A"
"2019";"BGR";"Ind_05_04";"UM_2";68.7;"A"
"2019";"BGR";"Ind_05_05";"UM_2";77.6;"A"
"2019";"BGR";"Ind_05_06";"UM_2";4.2;"A"
"2019";"BGR";"Ind_05_07";"UM_2";3.9;"A"
"2019";"BGR";"Ind_05_08";"UM_2";4.5;"A"
"2019";"BGR";"Ind_05_09";"UM_2";8.9;"A"
"2019";"BGR";"Ind_05_10";"UM_2";56.6;"A"
"2019";"BGR";"Ind_06_11";"UM_17";16900;"A"
"2019";"BGR";"Ind_06_12";"UM_2";4.5;"A"
"2019";"BGR";"Ind_16_01";"UM_2";2.5;"A"
"2018";"BGR";"Ind_17_01";"UM_20";2.7;"A"
"2018";"BGR";"Ind_17_02";"UM_2";24.4;"A"
"2018";"BGR";"Ind_17_03";"UM_2";13.4;"A"
"2018";"BGR";"Ind_17_04";"UM_2";22.1;"A"
"2019";"BGR";"Ind_09_03";"UM_22";40.85469659;"A"
"2019";"BGR";"Ind_09_04";"UM_23";3.535133448;"A"
"2018";"BGR";"Ind_10_04";"UM_24";396;"A"
"2018";"BGR";"Ind_10_05";"UM_25";87;"A"
"2018";"BGR";"Ind_10_06";"UM_26";757;"A"
"2018";"BGR";"Ind_10_07";"UM_26";5470;"A"
"2018";"BGR";"Ind_11_02";"UM_2";16.9;"A"
"2018";"BGR";"Ind_12_02";"UM_21";756.91;"A"
"2018";"BGR";"Ind_12_05";"UM_2";;"O"
"2018";"BGR";"Ind_12_06";"UM_4";5.755904626;"A"
"2019";"BGR";"Ind_13_05";"UM_2";27.8;"A"
"2019";"BGR";"Ind_13_06";"UM_2";28.1;"A"
"2017";"BGR";"Ind_13_07";"UM_2";4.09;"A"
"2018";"BGR";"Ind_13_08";"UM_2";0.76;"A"
"2019";"BGR";"Ind_18_01";"UM_2";9;"A"
"2019";"BGR";"Ind_18_02";"UM_2";32.1;"A"
"2018";"BGR";"Ind_18_03";"UM_17";7218;"A"
"2019";"BGR";"Ind_18_04";"UM_2";24.8;"A"
"2018";"BGR";"Ind_19_01";"UM_2";13.9;"A"
"2018";"BGR";"Ind_19_02";"UM_2";53.7;"A"
"2020";"BGR";"Ind_19_03";"UM_2";26.67;"A"
"2019";"CZE";"Ind_01_01";"UM_1";10649.8;"A"
"2018";"CZE";"Ind_01_03";"UM_3";137.7;"A"
"2019";"CZE";"Ind_01_04";"UM_2";20.36229784;"A"
"2019";"CZE";"Ind_01_06";"UM_2";19.66641078;"A"
"2019";"CZE";"Ind_01_13";"UM_2";5.25405382;"A"
"2018";"CZE";"Ind_01_14";"UM_4";10.70780672;"A"
"2018";"CZE";"Ind_01_15";"UM_2";48.52678102;"A"
"2018";"CZE";"Ind_01_16";"UM_18";82;"A"
"2018";"CZE";"Ind_01_17";"UM_18";76.2;"A"
"2009";"CZE";"Ind_04_01";"UM_7";78865;"A"
"2009";"CZE";"Ind_04_08";"UM_2";4.261713054;"A"
"2009";"CZE";"Ind_04_09";"UM_2";50.53065365;"A"
"2009";"CZE";"Ind_04_10";"UM_2";36.79959424;"A"
