"PERIOD_REF";"PERIOD_COMP";"REGION";"INDICATORS";"UNIT_MES";"VALUE";"STATUS";"STATUS_1"
"2019";;"BE";"Ind_14_03";"UM_2";16.82288721;"A";
"2019";;"BE";"Ind_14_04";"UM_2";30.03082796;"A";
"2019";;"BE";"Ind_14_05";"UM_2";4.176610747;"A";
"2019";;"BE";"Ind_14_06";"UM_2";9.735170906;"A";
"2019";;"BE";"Ind_14_07";"UM_2";8.041438968;"A";
"2019";;"BE";"Ind_14_08";"UM_2";0.617153166;"A";
"2019";;"BE";"Ind_14_09";"UM_2";13.5850421;"A";
"2019";;"BE";"Ind_14_10";"UM_2";2.817933211;"A";
"2019";;"BE";"Ind_15_01";"UM_15";52.1190326;"A";
"2019";;"BE";"Ind_15_02";"UM_15";11.63600737;"A";
"2019";;"BE";"Ind_15_03";"UM_15";3.013593539;"A";
"2019";;"LU";"Ind_01_01";"UM_1";413.12;"A";
"2010/2019";;"LU";"Ind_01_02";"UM_2";9.403882312;"A";
"2019";;"LU";"Ind_01_03";"UM_3";289.0709732;"A";
"2019";;"LU";"Ind_01_04";"UM_2";20.2880519;"A";
"2019";;"LU";"Ind_01_05";"UM_2";61.86362316;"A";
"2019";;"LU";"Ind_01_06";"UM_2";17.84832494;"A";
"2019";;"LU";"Ind_01_07";"UM_2";63.86280015;"A";
"2019";;"LU";"Ind_01_08";"UM_2";18.78679318;"A";
"2019";;"LU";"Ind_01_09";"UM_4";4.801398362;"A";
"2019";;"LU";"Ind_01_10";"UM_4";1.631259899;"A";
"2019";;"LU";"Ind_01_11";"UM_4";10.59224945;"A";
"2019";;"LU";"Ind_01_12";"UM_4";7.546096463;"A";
"2019";;"LU";"Ind_01_13";"UM_5";179.274;"A";
"2019";;"LU";"Ind_01_14";"UM_6";2.261538204;"A";
"2019";;"LU";"Ind_02_01";"UM_2";88.61465317;"A";
"2019";;"LU";"Ind_02_02";"UM_2";1.626895828;"A";
"2019";;"LU";"Ind_02_03";"UM_2";3.330107222;"A";
"2019";;"LU";"Ind_02_04";"UM_2";0.195189605;"U";
